03-28 12:58:00.826 19147 19147 I flutter : [PERF] 12:58:00 | FPS:5 | MLKit:139ms | TFLite:172ms | Total:312ms
03-28 12:58:01.827 19147 19147 I flutter : [PERF] 12:58:01 | FPS:5 | MLKit:130ms | TFLite:174ms | Total:305ms
03-28 12:58:02.882 19147 19147 I flutter : [PERF] 12:58:02 | FPS:6 | MLKit:130ms | TFLite:172ms | Total:303ms
03-28 12:58:04.033 19147 19147 I flutter : [PERF] 12:58:04 | FPS:6 | MLKit:127ms | TFLite:169ms | Total:297ms
03-28 12:58:05.131 19147 19147 I flutter : [PERF] 12:58:05 | FPS:6 | MLKit:142ms | TFLite:171ms | Total:314ms
03-28 12:58:06.271 19147 19147 I flutter : [PERF] 12:58:06 | FPS:6 | MLKit:143ms | TFLite:167ms | Total:311ms
03-28 12:58:07.291 19147 19147 I flutter : [PERF] 12:58:07 | FPS:5 | MLKit:140ms | TFLite:165ms | Total:306ms
03-28 12:58:08.387 19147 19147 I flutter : [PERF] 12:58:08 | FPS:5 | MLKit:141ms | TFLite:170ms | Total:312ms
03-28 12:58:09.411 19147 19147 I flutter : [PERF] 12:58:09 | FPS:5 | MLKit:135ms | TFLite:171ms | Total:306ms
03-28 12:58:10.531 19147 19147 I flutter : [PERF] 12:58:10 | FPS:5 | MLKit:131ms | TFLite:173ms | Total:305ms
03-28 12:58:11.773 19147 19147 I flutter : [PERF] 12:58:11 | FPS:6 | MLKit:122ms | TFLite:174ms | Total:296ms
03-28 12:58:12.775 19147 19147 I flutter : [PERF] 12:58:12 | FPS:5 | MLKit:101ms | TFLite:171ms | Total:273ms
03-28 12:58:13.870 19147 19147 I flutter : [PERF] 12:58:13 | FPS:6 | MLKit:95ms | TFLite:169ms | Total:264ms
03-28 12:58:14.887 19147 19147 I flutter : [PERF] 12:58:14 | FPS:5 | MLKit:98ms | TFLite:167ms | Total:266ms
03-28 12:58:16.008 19147 19147 I flutter : [PERF] 12:58:16 | FPS:5 | MLKit:97ms | TFLite:169ms | Total:266ms
03-28 12:58:17.015 19147 19147 I flutter : [PERF] 12:58:17 | FPS:5 | MLKit:96ms | TFLite:170ms | Total:266ms
03-28 12:58:18.149 19147 19147 I flutter : [PERF] 12:58:18 | FPS:6 | MLKit:112ms | TFLite:170ms | Total:282ms
03-28 12:58:19.248 19147 19147 I flutter : [PERF] 12:58:19 | FPS:6 | MLKit:135ms | TFLite:171ms | Total:307ms
03-28 12:58:20.316 19147 19147 I flutter : [PERF] 12:58:20 | FPS:6 | MLKit:133ms | TFLite:171ms | Total:305ms
03-28 12:58:21.446 19147 19147 I flutter : [PERF] 12:58:21 | FPS:6 | MLKit:144ms | TFLite:169ms | Total:314ms
03-28 12:58:22.628 19147 19147 I flutter : [PERF] 12:58:22 | FPS:6 | MLKit:147ms | TFLite:164ms | Total:311ms
03-28 12:58:23.691 19147 19147 I flutter : [PERF] 12:58:23 | FPS:6 | MLKit:143ms | TFLite:162ms | Total:305ms
03-28 12:58:24.714 19147 19147 I flutter : [PERF] 12:58:24 | FPS:6 | MLKit:142ms | TFLite:160ms | Total:303ms
03-28 12:58:25.732 19147 19147 I flutter : [PERF] 12:58:25 | FPS:5 | MLKit:140ms | TFLite:164ms | Total:304ms
03-28 12:58:26.805 19147 19147 I flutter : [PERF] 12:58:26 | FPS:6 | MLKit:145ms | TFLite:164ms | Total:310ms
03-28 12:58:27.887 19147 19147 I flutter : [PERF] 12:58:27 | FPS:6 | MLKit:149ms | TFLite:163ms | Total:313ms
03-28 12:58:29.044 19147 19147 I flutter : [PERF] 12:58:29 | FPS:6 | MLKit:150ms | TFLite:165ms | Total:315ms
03-28 12:58:30.238 19147 19147 I flutter : [PERF] 12:58:30 | FPS:6 | MLKit:139ms | TFLite:167ms | Total:306ms
03-28 12:58:31.449 19147 19147 I flutter : [PERF] 12:58:31 | FPS:7 | MLKit:139ms | TFLite:163ms | Total:303ms
03-28 12:58:32.569 19147 19147 I flutter : [PERF] 12:58:32 | FPS:6 | MLKit:134ms | TFLite:163ms | Total:297ms
03-28 12:58:33.695 19147 19147 I flutter : [PERF] 12:58:33 | FPS:6 | MLKit:138ms | TFLite:163ms | Total:302ms
03-28 12:58:34.732 19147 19147 I flutter : [PERF] 12:58:34 | FPS:5 | MLKit:130ms | TFLite:164ms | Total:295ms
03-28 12:58:35.882 19147 19147 I flutter : [PERF] 12:58:35 | FPS:6 | MLKit:134ms | TFLite:162ms | Total:297ms
03-28 12:58:37.022 19147 19147 I flutter : [PERF] 12:58:37 | FPS:6 | MLKit:137ms | TFLite:167ms | Total:304ms
03-28 12:58:38.117 19147 19147 I flutter : [PERF] 12:58:38 | FPS:6 | MLKit:141ms | TFLite:166ms | Total:308ms
03-28 12:58:39.285 19147 19147 I flutter : [PERF] 12:58:39 | FPS:6 | MLKit:141ms | TFLite:168ms | Total:310ms
03-28 12:58:40.400 19147 19147 I flutter : [PERF] 12:58:40 | FPS:6 | MLKit:144ms | TFLite:166ms | Total:310ms
03-28 12:58:41.588 19147 19147 I flutter : [PERF] 12:58:41 | FPS:6 | MLKit:152ms | TFLite:167ms | Total:320ms
03-28 12:58:42.712 19147 19147 I flutter : [PERF] 12:58:42 | FPS:6 | MLKit:154ms | TFLite:167ms | Total:321ms
03-28 12:58:43.740 19147 19147 I flutter : [PERF] 12:58:43 | FPS:6 | MLKit:152ms | TFLite:166ms | Total:318ms
03-28 12:58:44.762 19147 19147 I flutter : [PERF] 12:58:44 | FPS:5 | MLKit:152ms | TFLite:168ms | Total:320ms
03-28 12:58:45.848 19147 19147 I flutter : [PERF] 12:58:45 | FPS:6 | MLKit:161ms | TFLite:169ms | Total:330ms
03-28 12:58:47.001 19147 19147 I flutter : [PERF] 12:58:47 | FPS:6 | MLKit:159ms | TFLite:169ms | Total:328ms
03-28 12:58:48.029 19147 19147 I flutter : [PERF] 12:58:48 | FPS:6 | MLKit:166ms | TFLite:167ms | Total:334ms
03-28 12:58:49.050 19147 19147 I flutter : [PERF] 12:58:49 | FPS:5 | MLKit:163ms | TFLite:171ms | Total:334ms
03-28 12:58:50.253 19147 19147 I flutter : [PERF] 12:58:50 | FPS:6 | MLKit:161ms | TFLite:171ms | Total:332ms
03-28 12:58:51.298 19147 19147 I flutter : [PERF] 12:58:51 | FPS:5 | MLKit:147ms | TFLite:170ms | Total:318ms
03-28 12:58:52.522 19147 19147 I flutter : [PERF] 12:58:52 | FPS:6 | MLKit:151ms | TFLite:173ms | Total:325ms
03-28 12:58:53.631 19147 19147 I flutter : [PERF] 12:58:53 | FPS:6 | MLKit:152ms | TFLite:174ms | Total:327ms
03-28 12:58:54.718 19147 19147 I flutter : [PERF] 12:58:54 | FPS:6 | MLKit:151ms | TFLite:170ms | Total:322ms
03-28 12:58:55.744 19147 19147 I flutter : [PERF] 12:58:55 | FPS:5 | MLKit:146ms | TFLite:169ms | Total:315ms
03-28 12:58:56.852 19147 19147 I flutter : [PERF] 12:58:56 | FPS:6 | MLKit:163ms | TFLite:171ms | Total:334ms
03-28 12:58:57.944 19147 19147 I flutter : [PERF] 12:58:57 | FPS:5 | MLKit:160ms | TFLite:173ms | Total:334ms
03-28 12:58:59.173 19147 19147 I flutter : [PERF] 12:58:59 | FPS:6 | MLKit:157ms | TFLite:173ms | Total:331ms
03-28 12:59:00.273 19147 19147 I flutter : [PERF] 12:59:00 | FPS:6 | MLKit:156ms | TFLite:174ms | Total:331ms
03-28 12:59:01.379 19147 19147 I flutter : [PERF] 12:59:01 | FPS:6 | MLKit:164ms | TFLite:172ms | Total:336ms
03-28 12:59:02.384 19147 19147 I flutter : [PERF] 12:59:02 | FPS:5 | MLKit:161ms | TFLite:172ms | Total:333ms
03-28 12:59:03.521 19147 19147 I flutter : [PERF] 12:59:03 | FPS:6 | MLKit:165ms | TFLite:171ms | Total:336ms
03-28 12:59:04.603 19147 19147 I flutter : [PERF] 12:59:04 | FPS:5 | MLKit:155ms | TFLite:170ms | Total:325ms
03-28 12:59:05.754 19147 19147 I flutter : [PERF] 12:59:05 | FPS:6 | MLKit:154ms | TFLite:172ms | Total:327ms
03-28 12:59:06.916 19147 19147 I flutter : [PERF] 12:59:06 | FPS:6 | MLKit:157ms | TFLite:175ms | Total:332ms
03-28 12:59:08.038 19147 19147 I flutter : [PERF] 12:59:08 | FPS:6 | MLKit:157ms | TFLite:174ms | Total:332ms
03-28 12:59:09.178 19147 19147 I flutter : [PERF] 12:59:09 | FPS:6 | MLKit:155ms | TFLite:174ms | Total:330ms
03-28 12:59:10.344 19147 19147 I flutter : [PERF] 12:59:10 | FPS:6 | MLKit:163ms | TFLite:174ms | Total:338ms
03-28 12:59:11.532 19147 19147 I flutter : [PERF] 12:59:11 | FPS:6 | MLKit:167ms | TFLite:176ms | Total:343ms
03-28 12:59:12.657 19147 19147 I flutter : [PERF] 12:59:12 | FPS:6 | MLKit:157ms | TFLite:172ms | Total:330ms
03-28 12:59:13.863 19147 19147 I flutter : [PERF] 12:59:13 | FPS:6 | MLKit:147ms | TFLite:171ms | Total:318ms
03-28 12:59:14.981 19147 19147 I flutter : [PERF] 12:59:14 | FPS:5 | MLKit:146ms | TFLite:173ms | Total:320ms
03-28 12:59:16.070 19147 19147 I flutter : [PERF] 12:59:16 | FPS:6 | MLKit:150ms | TFLite:173ms | Total:324ms
03-28 12:59:17.283 19147 19147 I flutter : [PERF] 12:59:17 | FPS:6 | MLKit:142ms | TFLite:173ms | Total:315ms
03-28 12:59:18.374 19147 19147 I flutter : [PERF] 12:59:18 | FPS:6 | MLKit:144ms | TFLite:171ms | Total:315ms
03-28 12:59:19.412 19147 19147 I flutter : [PERF] 12:59:19 | FPS:5 | MLKit:156ms | TFLite:173ms | Total:329ms
03-28 12:59:20.546 19147 19147 I flutter : [PERF] 12:59:20 | FPS:6 | MLKit:152ms | TFLite:170ms | Total:322ms
03-28 12:59:21.584 19147 19147 I flutter : [PERF] 12:59:21 | FPS:5 | MLKit:157ms | TFLite:173ms | Total:331ms
03-28 12:59:22.656 19147 19147 I flutter : [PERF] 12:59:22 | FPS:5 | MLKit:149ms | TFLite:174ms | Total:324ms
03-28 12:59:23.727 19147 19147 I flutter : [PERF] 12:59:23 | FPS:5 | MLKit:161ms | TFLite:176ms | Total:337ms
03-28 12:59:24.765 19147 19147 I flutter : [PERF] 12:59:24 | FPS:5 | MLKit:158ms | TFLite:179ms | Total:337ms
03-28 12:59:25.799 19147 19147 I flutter : [PERF] 12:59:25 | FPS:5 | MLKit:160ms | TFLite:180ms | Total:341ms
03-28 12:59:26.914 19147 19147 I flutter : [PERF] 12:59:26 | FPS:6 | MLKit:156ms | TFLite:179ms | Total:336ms
03-28 12:59:28.062 19147 19147 I flutter : [PERF] 12:59:28 | FPS:6 | MLKit:156ms | TFLite:175ms | Total:331ms
03-28 12:59:29.193 19147 19147 I flutter : [PERF] 12:59:29 | FPS:5 | MLKit:153ms | TFLite:179ms | Total:333ms
03-28 12:59:30.221 19147 19147 I flutter : [PERF] 12:59:30 | FPS:5 | MLKit:152ms | TFLite:176ms | Total:329ms
03-28 12:59:31.384 19147 19147 I flutter : [PERF] 12:59:31 | FPS:6 | MLKit:161ms | TFLite:180ms | Total:342ms
03-28 12:59:32.543 19147 19147 I flutter : [PERF] 12:59:32 | FPS:6 | MLKit:156ms | TFLite:178ms | Total:335ms
03-28 12:59:33.660 19147 19147 I flutter : [PERF] 12:59:33 | FPS:6 | MLKit:149ms | TFLite:175ms | Total:324ms
03-28 12:59:34.679 19147 19147 I flutter : [PERF] 12:59:34 | FPS:5 | MLKit:144ms | TFLite:174ms | Total:319ms
03-28 12:59:35.836 19147 19147 I flutter : [PERF] 12:59:35 | FPS:6 | MLKit:148ms | TFLite:171ms | Total:319ms
03-28 12:59:36.875 19147 19147 I flutter : [PERF] 12:59:36 | FPS:5 | MLKit:140ms | TFLite:172ms | Total:312ms
03-28 12:59:38.016 19147 19147 I flutter : [PERF] 12:59:38 | FPS:5 | MLKit:124ms | TFLite:171ms | Total:295ms
03-28 12:59:39.074 19147 19147 I flutter : [PERF] 12:59:39 | FPS:5 | MLKit:124ms | TFLite:173ms | Total:298ms
03-28 12:59:40.197 19147 19147 I flutter : [PERF] 12:59:40 | FPS:6 | MLKit:128ms | TFLite:173ms | Total:301ms
03-28 12:59:41.240 19147 19147 I flutter : [PERF] 12:59:41 | FPS:6 | MLKit:127ms | TFLite:172ms | Total:299ms
03-28 12:59:42.301 19147 19147 I flutter : [PERF] 12:59:42 | FPS:5 | MLKit:126ms | TFLite:172ms | Total:299ms
03-28 12:59:43.392 19147 19147 I flutter : [PERF] 12:59:43 | FPS:6 | MLKit:149ms | TFLite:171ms | Total:321ms
03-28 12:59:44.471 19147 19147 I flutter : [PERF] 12:59:44 | FPS:5 | MLKit:164ms | TFLite:173ms | Total:337ms
03-28 12:59:45.604 19147 19147 I flutter : [PERF] 12:59:45 | FPS:6 | MLKit:160ms | TFLite:172ms | Total:333ms
03-28 12:59:46.758 19147 19147 I flutter : [PERF] 12:59:46 | FPS:6 | MLKit:150ms | TFLite:171ms | Total:321ms
03-28 12:59:47.865 19147 19147 I flutter : [PERF] 12:59:47 | FPS:6 | MLKit:155ms | TFLite:169ms | Total:325ms
03-28 12:59:48.913 19147 19147 I flutter : [PERF] 12:59:48 | FPS:5 | MLKit:134ms | TFLite:166ms | Total:301ms
03-28 12:59:49.914 19147 19147 I flutter : [PERF] 12:59:49 | FPS:5 | MLKit:131ms | TFLite:166ms | Total:298ms
03-28 12:59:51.034 19147 19147 I flutter : [PERF] 12:59:51 | FPS:6 | MLKit:127ms | TFLite:166ms | Total:293ms
03-28 12:59:52.184 19147 19147 I flutter : [PERF] 12:59:52 | FPS:6 | MLKit:129ms | TFLite:166ms | Total:296ms
03-28 12:59:53.258 19147 19147 I flutter : [PERF] 12:59:53 | FPS:6 | MLKit:136ms | TFLite:167ms | Total:304ms
03-28 12:59:54.388 19147 19147 I flutter : [PERF] 12:59:54 | FPS:6 | MLKit:149ms | TFLite:169ms | Total:319ms
03-28 12:59:55.558 19147 19147 I flutter : [PERF] 12:59:55 | FPS:6 | MLKit:149ms | TFLite:168ms | Total:317ms
03-28 12:59:56.637 19147 19147 I flutter : [PERF] 12:59:56 | FPS:6 | MLKit:148ms | TFLite:167ms | Total:315ms
03-28 12:59:57.696 19147 19147 I flutter : [PERF] 12:59:57 | FPS:6 | MLKit:151ms | TFLite:166ms | Total:317ms
03-28 12:59:58.784 19147 19147 I flutter : [PERF] 12:59:58 | FPS:6 | MLKit:151ms | TFLite:165ms | Total:317ms
03-28 12:59:59.824 19147 19147 I flutter : [PERF] 12:59:59 | FPS:5 | MLKit:148ms | TFLite:165ms | Total:313ms
