04-01 09:35:22.352 18946 18946 I flutter : [PERF] 09:35:22 | FPS:1 | MLKit:390ms | TFLite:173ms | Total:563ms
04-01 09:35:23.357 18946 18946 I flutter : [PERF] 09:35:23 | FPS:6 | MLKit:151ms | TFLite:144ms | Total:296ms
04-01 09:35:24.417 18946 18946 I flutter : [PERF] 09:35:24 | FPS:7 | MLKit:145ms | TFLite:141ms | Total:287ms
04-01 09:35:25.552 18946 18946 I flutter : [PERF] 09:35:25 | FPS:7 | MLKit:141ms | TFLite:142ms | Total:284ms
04-01 09:35:26.687 18946 18946 I flutter : [PERF] 09:35:26 | FPS:6 | MLKit:137ms | TFLite:148ms | Total:285ms
04-01 09:35:27.694 18946 18946 I flutter : [PERF] 09:35:27 | FPS:6 | MLKit:125ms | TFLite:144ms | Total:269ms
04-01 09:35:28.756 18946 18946 I flutter : [PERF] 09:35:28 | FPS:6 | MLKit:125ms | TFLite:146ms | Total:272ms
04-01 09:35:29.927 18946 18946 I flutter : [PERF] 09:35:29 | FPS:6 | MLKit:109ms | TFLite:149ms | Total:258ms
04-01 09:35:30.992 18946 18946 I flutter : [PERF] 09:35:30 | FPS:6 | MLKit:109ms | TFLite:149ms | Total:259ms
04-01 09:35:32.131 18946 18946 I flutter : [PERF] 09:35:32 | FPS:7 | MLKit:115ms | TFLite:147ms | Total:262ms
04-01 09:35:33.145 18946 18946 I flutter : [PERF] 09:35:33 | FPS:7 | MLKit:128ms | TFLite:151ms | Total:274ms
04-01 09:35:34.217 18946 18946 I flutter : [PERF] 09:35:34 | FPS:6 | MLKit:109ms | TFLite:148ms | Total:253ms
04-01 09:35:35.284 18946 18946 I flutter : [PERF] 09:35:35 | FPS:6 | MLKit:123ms | TFLite:150ms | Total:269ms
04-01 09:35:36.408 18946 18946 I flutter : [PERF] 09:35:36 | FPS:7 | MLKit:116ms | TFLite:148ms | Total:260ms
04-01 09:35:37.459 18946 18946 I flutter : [PERF] 09:35:37 | FPS:6 | MLKit:111ms | TFLite:147ms | Total:253ms
04-01 09:35:38.618 18946 18946 I flutter : [PERF] 09:35:38 | FPS:6 | MLKit:108ms | TFLite:146ms | Total:255ms
04-01 09:35:39.768 18946 18946 I flutter : [PERF] 09:35:39 | FPS:7 | MLKit:123ms | TFLite:143ms | Total:266ms
04-01 09:35:40.899 18946 18946 I flutter : [PERF] 09:35:40 | FPS:6 | MLKit:113ms | TFLite:143ms | Total:257ms
04-01 09:35:42.031 18946 18946 I flutter : [PERF] 09:35:42 | FPS:6 | MLKit:118ms | TFLite:143ms | Total:262ms
04-01 09:35:43.174 18946 18946 I flutter : [PERF] 09:35:43 | FPS:6 | MLKit:121ms | TFLite:151ms | Total:272ms
04-01 09:35:44.226 18946 18946 I flutter : [PERF] 09:35:44 | FPS:6 | MLKit:124ms | TFLite:151ms | Total:275ms
04-01 09:35:45.301 18946 18946 I flutter : [PERF] 09:35:45 | FPS:6 | MLKit:126ms | TFLite:156ms | Total:282ms
04-01 09:35:46.419 18946 18946 I flutter : [PERF] 09:35:46 | FPS:7 | MLKit:135ms | TFLite:153ms | Total:288ms
04-01 09:35:47.557 18946 18946 I flutter : [PERF] 09:35:47 | FPS:6 | MLKit:125ms | TFLite:154ms | Total:280ms
04-01 09:35:48.571 18946 18946 I flutter : [PERF] 09:35:48 | FPS:6 | MLKit:115ms | TFLite:149ms | Total:265ms
04-01 09:35:49.651 18946 18946 I flutter : [PERF] 09:35:49 | FPS:7 | MLKit:111ms | TFLite:141ms | Total:253ms
04-01 09:35:50.786 18946 18946 I flutter : [PERF] 09:35:50 | FPS:7 | MLKit:115ms | TFLite:139ms | Total:255ms
04-01 09:35:51.872 18946 18946 I flutter : [PERF] 09:35:51 | FPS:6 | MLKit:111ms | TFLite:142ms | Total:253ms
04-01 09:35:53.021 18946 18946 I flutter : [PERF] 09:35:53 | FPS:7 | MLKit:127ms | TFLite:143ms | Total:271ms
04-01 09:35:54.184 18946 18946 I flutter : [PERF] 09:35:54 | FPS:6 | MLKit:125ms | TFLite:147ms | Total:272ms
04-01 09:35:55.194 18946 18946 I flutter : [PERF] 09:35:55 | FPS:7 | MLKit:119ms | TFLite:146ms | Total:266ms
04-01 09:35:56.298 18946 18946 I flutter : [PERF] 09:35:56 | FPS:7 | MLKit:114ms | TFLite:144ms | Total:259ms
04-01 09:35:57.396 18946 18946 I flutter : [PERF] 09:35:57 | FPS:6 | MLKit:112ms | TFLite:143ms | Total:256ms
04-01 09:35:58.460 18946 18946 I flutter : [PERF] 09:35:58 | FPS:7 | MLKit:111ms | TFLite:142ms | Total:254ms
04-01 09:35:59.501 18946 18946 I flutter : [PERF] 09:35:59 | FPS:6 | MLKit:128ms | TFLite:145ms | Total:273ms
04-01 09:36:00.632 18946 18946 I flutter : [PERF] 09:36:00 | FPS:6 | MLKit:124ms | TFLite:147ms | Total:272ms
04-01 09:36:01.700 18946 18946 I flutter : [PERF] 09:36:01 | FPS:6 | MLKit:109ms | TFLite:147ms | Total:257ms
04-01 09:36:02.822 18946 18946 I flutter : [PERF] 09:36:02 | FPS:6 | MLKit:112ms | TFLite:151ms | Total:264ms
04-01 09:36:03.844 18946 18946 I flutter : [PERF] 09:36:03 | FPS:6 | MLKit:118ms | TFLite:152ms | Total:271ms
04-01 09:36:04.938 18946 18946 I flutter : [PERF] 09:36:04 | FPS:6 | MLKit:110ms | TFLite:153ms | Total:264ms
04-01 09:36:05.992 18946 18946 I flutter : [PERF] 09:36:05 | FPS:5 | MLKit:122ms | TFLite:156ms | Total:279ms
04-01 09:36:07.224 18946 18946 I flutter : [PERF] 09:36:07 | FPS:6 | MLKit:132ms | TFLite:160ms | Total:293ms
04-01 09:36:08.252 18946 18946 I flutter : [PERF] 09:36:08 | FPS:6 | MLKit:137ms | TFLite:158ms | Total:296ms
