03-28 18:21:10.799 23179 23179 I flutter : [PERF] 18:21:10 | FPS:1 | MLKit:399ms | TFLite:167ms | Total:566ms
03-28 18:21:11.809 23179 23179 I flutter : [PERF] 18:21:11 | FPS:5 | MLKit:142ms | TFLite:162ms | Total:304ms
03-28 18:21:12.947 23179 23179 I flutter : [PERF] 18:21:12 | FPS:7 | MLKit:114ms | TFLite:161ms | Total:263ms
03-28 18:21:13.982 23179 23179 I flutter : [PERF] 18:21:13 | FPS:5 | MLKit:107ms | TFLite:165ms | Total:263ms
03-28 18:21:15.114 23179 23179 I flutter : [PERF] 18:21:15 | FPS:6 | MLKit:118ms | TFLite:167ms | Total:278ms
03-28 18:21:16.306 23179 23179 I flutter : [PERF] 18:21:16 | FPS:6 | MLKit:125ms | TFLite:170ms | Total:290ms
03-28 18:21:17.308 23179 23179 I flutter : [PERF] 18:21:17 | FPS:5 | MLKit:128ms | TFLite:172ms | Total:295ms
03-28 18:21:18.338 23179 23179 I flutter : [PERF] 18:21:18 | FPS:5 | MLKit:136ms | TFLite:174ms | Total:310ms
03-28 18:21:19.398 23179 23179 I flutter : [PERF] 18:21:19 | FPS:5 | MLKit:143ms | TFLite:176ms | Total:319ms
03-28 18:21:20.479 23179 23179 I flutter : [PERF] 18:21:20 | FPS:6 | MLKit:150ms | TFLite:175ms | Total:325ms
03-28 18:21:21.485 23179 23179 I flutter : [PERF] 18:21:21 | FPS:5 | MLKit:151ms | TFLite:173ms | Total:325ms
03-28 18:21:22.539 23179 23179 I flutter : [PERF] 18:21:22 | FPS:5 | MLKit:132ms | TFLite:174ms | Total:307ms
03-28 18:21:23.676 23179 23179 I flutter : [PERF] 18:21:23 | FPS:6 | MLKit:141ms | TFLite:173ms | Total:315ms
03-28 18:21:24.677 23179 23179 I flutter : [PERF] 18:21:24 | FPS:5 | MLKit:121ms | TFLite:172ms | Total:293ms
03-28 18:21:25.818 23179 23179 I flutter : [PERF] 18:21:25 | FPS:6 | MLKit:130ms | TFLite:171ms | Total:301ms
03-28 18:21:26.928 23179 23179 I flutter : [PERF] 18:21:26 | FPS:6 | MLKit:134ms | TFLite:170ms | Total:304ms
03-28 18:21:27.983 23179 23179 I flutter : [PERF] 18:21:27 | FPS:5 | MLKit:140ms | TFLite:173ms | Total:313ms
03-28 18:21:29.144 23179 23179 I flutter : [PERF] 18:21:29 | FPS:6 | MLKit:145ms | TFLite:174ms | Total:319ms
03-28 18:21:30.227 23179 23179 I flutter : [PERF] 18:21:30 | FPS:6 | MLKit:157ms | TFLite:175ms | Total:332ms
03-28 18:21:31.301 23179 23179 I flutter : [PERF] 18:21:31 | FPS:6 | MLKit:159ms | TFLite:174ms | Total:334ms
03-28 18:21:32.459 23179 23179 I flutter : [PERF] 18:21:32 | FPS:6 | MLKit:144ms | TFLite:173ms | Total:317ms
03-28 18:21:33.581 23179 23179 I flutter : [PERF] 18:21:33 | FPS:6 | MLKit:152ms | TFLite:171ms | Total:324ms
03-28 18:21:34.634 23179 23179 I flutter : [PERF] 18:21:34 | FPS:5 | MLKit:137ms | TFLite:171ms | Total:308ms
03-28 18:21:35.767 23179 23179 I flutter : [PERF] 18:21:35 | FPS:6 | MLKit:133ms | TFLite:173ms | Total:307ms
03-28 18:21:36.971 23179 23179 I flutter : [PERF] 18:21:36 | FPS:6 | MLKit:126ms | TFLite:173ms | Total:299ms
03-28 18:21:38.142 23179 23179 I flutter : [PERF] 18:21:38 | FPS:6 | MLKit:123ms | TFLite:174ms | Total:297ms
03-28 18:21:39.308 23179 23179 I flutter : [PERF] 18:21:39 | FPS:6 | MLKit:123ms | TFLite:173ms | Total:296ms
03-28 18:21:40.476 23179 23179 I flutter : [PERF] 18:21:40 | FPS:5 | MLKit:119ms | TFLite:175ms | Total:294ms
03-28 18:21:41.645 23179 23179 I flutter : [PERF] 18:21:41 | FPS:6 | MLKit:126ms | TFLite:176ms | Total:302ms
