03-28 20:33:23.056  3085  3085 I flutter : [PERF] 20:33:23 | FPS:1 | MLKit:406ms | TFLite:256ms | Total:662ms
03-28 20:33:24.085  3085  3085 I flutter : [PERF] 20:33:24 | FPS:5 | MLKit:202ms | TFLite:194ms | Total:396ms
03-28 20:33:25.246  3085  3085 I flutter : [PERF] 20:33:25 | FPS:6 | MLKit:179ms | TFLite:186ms | Total:365ms
03-28 20:33:26.469  3085  3085 I flutter : [PERF] 20:33:26 | FPS:5 | MLKit:189ms | TFLite:194ms | Total:384ms
03-28 20:33:27.634  3085  3085 I flutter : [PERF] 20:33:27 | FPS:6 | MLKit:182ms | TFLite:189ms | Total:372ms
03-28 20:33:28.822  3085  3085 I flutter : [PERF] 20:33:28 | FPS:5 | MLKit:174ms | TFLite:192ms | Total:366ms
03-28 20:33:29.976  3085  3085 I flutter : [PERF] 20:33:29 | FPS:5 | MLKit:169ms | TFLite:192ms | Total:362ms
03-28 20:33:31.087  3085  3085 I flutter : [PERF] 20:33:31 | FPS:5 | MLKit:176ms | TFLite:197ms | Total:374ms
03-28 20:33:32.305  3085  3085 I flutter : [PERF] 20:33:32 | FPS:5 | MLKit:170ms | TFLite:201ms | Total:372ms
03-28 20:33:33.506  3085  3085 I flutter : [PERF] 20:33:33 | FPS:5 | MLKit:165ms | TFLite:202ms | Total:368ms
03-28 20:33:34.623  3085  3085 I flutter : [PERF] 20:33:34 | FPS:5 | MLKit:176ms | TFLite:207ms | Total:384ms
03-28 20:33:35.853  3085  3085 I flutter : [PERF] 20:33:35 | FPS:4 | MLKit:168ms | TFLite:213ms | Total:382ms
03-28 20:33:36.860  3085  3085 I flutter : [PERF] 20:33:36 | FPS:4 | MLKit:178ms | TFLite:217ms | Total:396ms
03-28 20:33:38.096  3085  3085 I flutter : [PERF] 20:33:38 | FPS:5 | MLKit:167ms | TFLite:216ms | Total:384ms
03-28 20:33:39.108  3085  3085 I flutter : [PERF] 20:33:39 | FPS:4 | MLKit:163ms | TFLite:218ms | Total:381ms
03-28 20:33:40.238  3085  3085 I flutter : [PERF] 20:33:40 | FPS:5 | MLKit:167ms | TFLite:215ms | Total:383ms
03-28 20:33:41.284  3085  3085 I flutter : [PERF] 20:33:41 | FPS:4 | MLKit:169ms | TFLite:218ms | Total:388ms
03-28 20:33:42.409  3085  3085 I flutter : [PERF] 20:33:42 | FPS:5 | MLKit:162ms | TFLite:218ms | Total:380ms
03-28 20:33:43.622  3085  3085 I flutter : [PERF] 20:33:43 | FPS:5 | MLKit:167ms | TFLite:213ms | Total:380ms
03-28 20:33:44.820  3085  3085 I flutter : [PERF] 20:33:44 | FPS:5 | MLKit:171ms | TFLite:212ms | Total:384ms
03-28 20:33:45.915  3085  3085 I flutter : [PERF] 20:33:45 | FPS:5 | MLKit:182ms | TFLite:212ms | Total:395ms
03-28 20:33:47.097  3085  3085 I flutter : [PERF] 20:33:47 | FPS:5 | MLKit:182ms | TFLite:212ms | Total:395ms
03-28 20:33:48.169  3085  3085 I flutter : [PERF] 20:33:48 | FPS:7 | MLKit:180ms | TFLite:209ms | Total:369ms
03-28 20:33:49.339  3085  3085 I flutter : [PERF] 20:33:49 | FPS:9 | MLKit:160ms | TFLite:209ms | Total:307ms
03-28 20:33:50.379  3085  3085 I flutter : [PERF] 20:33:50 | FPS:5 | MLKit:148ms | TFLite:208ms | Total:287ms
03-28 20:33:51.511  3085  3085 I flutter : [PERF] 20:33:51 | FPS:5 | MLKit:149ms | TFLite:209ms | Total:289ms
03-28 20:33:52.716  3085  3085 I flutter : [PERF] 20:33:52 | FPS:5 | MLKit:149ms | TFLite:209ms | Total:288ms
03-28 20:33:53.764  3085  3085 I flutter : [PERF] 20:33:53 | FPS:5 | MLKit:147ms | TFLite:204ms | Total:297ms
