03-28 13:21:18.178 20704 20704 I flutter : [PERF] 13:21:18 | FPS:1 | MLKit:400ms | TFLite:79ms | Total:479ms
03-28 13:21:19.243 20704 20704 I flutter : [PERF] 13:21:19 | FPS:11 | MLKit:87ms | TFLite:60ms | Total:148ms
03-28 13:21:20.303 20704 20704 I flutter : [PERF] 13:21:20 | FPS:11 | MLKit:67ms | TFLite:55ms | Total:123ms
03-28 13:21:21.365 20704 20704 I flutter : [PERF] 13:21:21 | FPS:11 | MLKit:53ms | TFLite:55ms | Total:108ms
03-28 13:21:22.404 20704 20704 I flutter : [PERF] 13:21:22 | FPS:8 | MLKit:57ms | TFLite:59ms | Total:116ms
03-28 13:21:23.444 20704 20704 I flutter : [PERF] 13:21:23 | FPS:11 | MLKit:61ms | TFLite:63ms | Total:125ms
03-28 13:21:24.599 20704 20704 I flutter : [PERF] 13:21:24 | FPS:13 | MLKit:68ms | TFLite:65ms | Total:133ms
03-28 13:21:25.714 20704 20704 I flutter : [PERF] 13:21:25 | FPS:10 | MLKit:64ms | TFLite:68ms | Total:133ms
03-28 13:21:26.785 20704 20704 I flutter : [PERF] 13:21:26 | FPS:13 | MLKit:64ms | TFLite:66ms | Total:131ms
03-28 13:21:27.889 20704 20704 I flutter : [PERF] 13:21:27 | FPS:11 | MLKit:61ms | TFLite:64ms | Total:125ms
03-28 13:21:28.961 20704 20704 I flutter : [PERF] 13:21:28 | FPS:11 | MLKit:61ms | TFLite:57ms | Total:118ms
03-28 13:21:30.027 20704 20704 I flutter : [PERF] 13:21:30 | FPS:11 | MLKit:66ms | TFLite:57ms | Total:123ms
03-28 13:21:31.062 20704 20704 I flutter : [PERF] 13:21:31 | FPS:11 | MLKit:65ms | TFLite:58ms | Total:124ms
03-28 13:21:32.085 20704 20704 I flutter : [PERF] 13:21:32 | FPS:11 | MLKit:64ms | TFLite:58ms | Total:123ms
03-28 13:21:33.091 20704 20704 I flutter : [PERF] 13:21:33 | FPS:13 | MLKit:60ms | TFLite:57ms | Total:117ms
03-28 13:21:34.095 20704 20704 I flutter : [PERF] 13:21:34 | FPS:10 | MLKit:59ms | TFLite:59ms | Total:118ms
03-28 13:21:35.215 20704 20704 I flutter : [PERF] 13:21:35 | FPS:11 | MLKit:55ms | TFLite:58ms | Total:114ms
03-28 13:21:36.262 20704 20704 I flutter : [PERF] 13:21:36 | FPS:11 | MLKit:57ms | TFLite:59ms | Total:116ms
03-28 13:21:37.352 20704 20704 I flutter : [PERF] 13:21:37 | FPS:11 | MLKit:63ms | TFLite:61ms | Total:125ms
03-28 13:21:38.375 20704 20704 I flutter : [PERF] 13:21:38 | FPS:12 | MLKit:64ms | TFLite:59ms | Total:124ms
03-28 13:21:39.392 20704 20704 I flutter : [PERF] 13:21:39 | FPS:12 | MLKit:58ms | TFLite:57ms | Total:116ms
03-28 13:21:40.438 20704 20704 I flutter : [PERF] 13:21:40 | FPS:12 | MLKit:58ms | TFLite:56ms | Total:115ms
03-28 13:21:41.487 20704 20704 I flutter : [PERF] 13:21:41 | FPS:10 | MLKit:53ms | TFLite:53ms | Total:107ms
03-28 13:21:42.571 20704 20704 I flutter : [PERF] 13:21:42 | FPS:11 | MLKit:53ms | TFLite:58ms | Total:112ms
03-28 13:21:43.597 20704 20704 I flutter : [PERF] 13:21:43 | FPS:12 | MLKit:53ms | TFLite:57ms | Total:110ms
03-28 13:21:44.718 20704 20704 I flutter : [PERF] 13:21:44 | FPS:11 | MLKit:53ms | TFLite:62ms | Total:115ms
03-28 13:21:45.746 20704 20704 I flutter : [PERF] 13:21:45 | FPS:8 | MLKit:62ms | TFLite:65ms | Total:127ms
03-28 13:21:46.872 20704 20704 I flutter : [PERF] 13:21:46 | FPS:12 | MLKit:67ms | TFLite:67ms | Total:134ms
03-28 13:21:47.970 20704 20704 I flutter : [PERF] 13:21:47 | FPS:13 | MLKit:66ms | TFLite:61ms | Total:128ms
03-28 13:21:48.994 20704 20704 I flutter : [PERF] 13:21:48 | FPS:12 | MLKit:58ms | TFLite:57ms | Total:115ms
03-28 13:21:50.032 20704 20704 I flutter : [PERF] 13:21:50 | FPS:12 | MLKit:52ms | TFLite:55ms | Total:107ms
03-28 13:21:51.078 20704 20704 I flutter : [PERF] 13:21:51 | FPS:12 | MLKit:51ms | TFLite:53ms | Total:105ms
03-28 13:21:52.144 20704 20704 I flutter : [PERF] 13:21:52 | FPS:13 | MLKit:52ms | TFLite:54ms | Total:107ms
03-28 13:21:53.240 20704 20704 I flutter : [PERF] 13:21:53 | FPS:11 | MLKit:59ms | TFLite:58ms | Total:117ms
03-28 13:21:54.289 20704 20704 I flutter : [PERF] 13:21:54 | FPS:12 | MLKit:58ms | TFLite:58ms | Total:117ms
03-28 13:21:55.348 20704 20704 I flutter : [PERF] 13:21:55 | FPS:11 | MLKit:61ms | TFLite:58ms | Total:119ms
03-28 13:21:56.508 20704 20704 I flutter : [PERF] 13:21:56 | FPS:13 | MLKit:64ms | TFLite:59ms | Total:124ms
03-28 13:21:57.566 20704 20704 I flutter : [PERF] 13:21:57 | FPS:12 | MLKit:67ms | TFLite:60ms | Total:128ms
03-28 13:21:58.575 20704 20704 I flutter : [PERF] 13:21:58 | FPS:12 | MLKit:64ms | TFLite:58ms | Total:123ms
03-28 13:21:59.654 20704 20704 I flutter : [PERF] 13:21:59 | FPS:12 | MLKit:65ms | TFLite:61ms | Total:126ms
03-28 13:22:00.777 20704 20704 I flutter : [PERF] 13:22:00 | FPS:11 | MLKit:57ms | TFLite:58ms | Total:116ms
03-28 13:22:01.823 20704 20704 I flutter : [PERF] 13:22:01 | FPS:12 | MLKit:53ms | TFLite:57ms | Total:111ms
03-28 13:22:02.881 20704 20704 I flutter : [PERF] 13:22:02 | FPS:11 | MLKit:56ms | TFLite:60ms | Total:117ms
03-28 13:22:03.913 20704 20704 I flutter : [PERF] 13:22:03 | FPS:13 | MLKit:59ms | TFLite:61ms | Total:120ms
03-28 13:22:04.925 20704 20704 I flutter : [PERF] 13:22:04 | FPS:10 | MLKit:53ms | TFLite:60ms | Total:114ms
