04-02 13:48:43.633 30850 30850 I flutter : [PERF] 13:48:43 | FPS:1 | MLKit:388ms | TFLite:54ms | Total:442ms
04-02 13:48:44.646 30850 30850 I flutter : [PERF] 13:48:44 | FPS:12 | MLKit:73ms | TFLite:51ms | Total:125ms
04-02 13:48:45.715 30850 30850 I flutter : [PERF] 13:48:45 | FPS:12 | MLKit:58ms | TFLite:50ms | Total:108ms
04-02 13:48:46.765 30850 30850 I flutter : [PERF] 13:48:46 | FPS:13 | MLKit:48ms | TFLite:50ms | Total:99ms
04-02 13:48:47.839 30850 30850 I flutter : [PERF] 13:48:47 | FPS:12 | MLKit:53ms | TFLite:54ms | Total:107ms
04-02 13:48:48.877 30850 30850 I flutter : [PERF] 13:48:48 | FPS:12 | MLKit:59ms | TFLite:58ms | Total:117ms
04-02 13:48:49.917 30850 30850 I flutter : [PERF] 13:48:49 | FPS:12 | MLKit:57ms | TFLite:57ms | Total:115ms
04-02 13:48:50.964 30850 30850 I flutter : [PERF] 13:48:50 | FPS:12 | MLKit:54ms | TFLite:56ms | Total:110ms
04-02 13:48:52.003 30850 30850 I flutter : [PERF] 13:48:52 | FPS:13 | MLKit:54ms | TFLite:52ms | Total:107ms
04-02 13:48:53.048 30850 30850 I flutter : [PERF] 13:48:53 | FPS:12 | MLKit:51ms | TFLite:50ms | Total:102ms
04-02 13:48:54.093 30850 30850 I flutter : [PERF] 13:48:54 | FPS:13 | MLKit:55ms | TFLite:53ms | Total:109ms
04-02 13:48:55.164 30850 30850 I flutter : [PERF] 13:48:55 | FPS:13 | MLKit:62ms | TFLite:56ms | Total:118ms
04-02 13:48:56.183 30850 30850 I flutter : [PERF] 13:48:56 | FPS:12 | MLKit:58ms | TFLite:58ms | Total:116ms
04-02 13:48:57.213 30850 30850 I flutter : [PERF] 13:48:57 | FPS:13 | MLKit:53ms | TFLite:54ms | Total:108ms
04-02 13:48:58.303 30850 30850 I flutter : [PERF] 13:48:58 | FPS:13 | MLKit:46ms | TFLite:51ms | Total:97ms
04-02 13:48:59.386 30850 30850 I flutter : [PERF] 13:48:59 | FPS:10 | MLKit:49ms | TFLite:55ms | Total:105ms
04-02 13:49:00.452 30850 30850 I flutter : [PERF] 13:49:00 | FPS:12 | MLKit:46ms | TFLite:55ms | Total:101ms
04-02 13:49:01.481 30850 30850 I flutter : [PERF] 13:49:01 | FPS:12 | MLKit:50ms | TFLite:56ms | Total:107ms
04-02 13:49:02.544 30850 30850 I flutter : [PERF] 13:49:02 | FPS:11 | MLKit:58ms | TFLite:59ms | Total:118ms
04-02 13:49:03.656 30850 30850 I flutter : [PERF] 13:49:03 | FPS:12 | MLKit:66ms | TFLite:61ms | Total:127ms
04-02 13:49:04.659 30850 30850 I flutter : [PERF] 13:49:04 | FPS:10 | MLKit:71ms | TFLite:63ms | Total:134ms
04-02 13:49:05.757 30850 30850 I flutter : [PERF] 13:49:05 | FPS:12 | MLKit:65ms | TFLite:62ms | Total:127ms
04-02 13:49:06.835 30850 30850 I flutter : [PERF] 13:49:06 | FPS:10 | MLKit:64ms | TFLite:63ms | Total:127ms
04-02 13:49:07.877 30850 30850 I flutter : [PERF] 13:49:07 | FPS:9 | MLKit:59ms | TFLite:66ms | Total:126ms
04-02 13:49:08.905 30850 30850 I flutter : [PERF] 13:49:08 | FPS:12 | MLKit:59ms | TFLite:64ms | Total:124ms
04-02 13:49:09.930 30850 30850 I flutter : [PERF] 13:49:09 | FPS:11 | MLKit:59ms | TFLite:60ms | Total:119ms
04-02 13:49:10.965 30850 30850 I flutter : [PERF] 13:49:10 | FPS:14 | MLKit:53ms | TFLite:54ms | Total:108ms
04-02 13:49:12.041 30850 30850 I flutter : [PERF] 13:49:12 | FPS:14 | MLKit:59ms | TFLite:54ms | Total:114ms
04-02 13:49:13.075 30850 30850 I flutter : [PERF] 13:49:13 | FPS:12 | MLKit:60ms | TFLite:56ms | Total:116ms
04-02 13:49:14.090 30850 30850 I flutter : [PERF] 13:49:14 | FPS:11 | MLKit:58ms | TFLite:56ms | Total:115ms
04-02 13:49:15.096 30850 30850 I flutter : [PERF] 13:49:15 | FPS:11 | MLKit:54ms | TFLite:57ms | Total:112ms
04-02 13:49:16.096 30850 30850 I flutter : [PERF] 13:49:16 | FPS:10 | MLKit:58ms | TFLite:61ms | Total:120ms
04-02 13:49:17.123 30850 30850 I flutter : [PERF] 13:49:17 | FPS:12 | MLKit:63ms | TFLite:62ms | Total:126ms
04-02 13:49:18.129 30850 30850 I flutter : [PERF] 13:49:18 | FPS:11 | MLKit:68ms | TFLite:65ms | Total:134ms
04-02 13:49:19.180 30850 30850 I flutter : [PERF] 13:49:19 | FPS:12 | MLKit:67ms | TFLite:67ms | Total:134ms
04-02 13:49:20.240 30850 30850 I flutter : [PERF] 13:49:20 | FPS:13 | MLKit:64ms | TFLite:63ms | Total:126ms
04-02 13:49:21.345 30850 30850 I flutter : [PERF] 13:49:21 | FPS:12 | MLKit:60ms | TFLite:61ms | Total:119ms
04-02 13:49:22.355 30850 30850 I flutter : [PERF] 13:49:22 | FPS:12 | MLKit:57ms | TFLite:56ms | Total:113ms
04-02 13:49:23.402 30850 30850 I flutter : [PERF] 13:49:23 | FPS:13 | MLKit:61ms | TFLite:58ms | Total:119ms
04-02 13:49:24.427 30850 30850 I flutter : [PERF] 13:49:24 | FPS:13 | MLKit:56ms | TFLite:56ms | Total:112ms
