03-28 18:47:19.544 25089 25089 I flutter : [PERF] 18:47:19 | FPS:1 | MLKit:398ms | TFLite:54ms | Total:452ms
03-28 18:47:20.557 25089 25089 I flutter : [PERF] 18:47:20 | FPS:12 | MLKit:76ms | TFLite:48ms | Total:124ms
03-28 18:47:21.565 25089 25089 I flutter : [PERF] 18:47:21 | FPS:12 | MLKit:62ms | TFLite:43ms | Total:106ms
03-28 18:47:22.644 25089 25089 I flutter : [PERF] 18:47:22 | FPS:13 | MLKit:44ms | TFLite:41ms | Total:86ms
03-28 18:47:23.662 25089 25089 I flutter : [PERF] 18:47:23 | FPS:11 | MLKit:46ms | TFLite:40ms | Total:87ms
03-28 18:47:24.752 25089 25089 I flutter : [PERF] 18:47:24 | FPS:11 | MLKit:49ms | TFLite:45ms | Total:95ms
03-28 18:47:25.766 25089 25089 I flutter : [PERF] 18:47:25 | FPS:10 | MLKit:55ms | TFLite:51ms | Total:106ms
03-28 18:47:26.811 25089 25089 I flutter : [PERF] 18:47:26 | FPS:13 | MLKit:52ms | TFLite:50ms | Total:103ms
03-28 18:47:27.865 25089 25089 I flutter : [PERF] 18:47:27 | FPS:13 | MLKit:48ms | TFLite:42ms | Total:90ms
03-28 18:47:28.866 25089 25089 I flutter : [PERF] 18:47:28 | FPS:13 | MLKit:47ms | TFLite:43ms | Total:91ms
03-28 18:47:29.907 25089 25089 I flutter : [PERF] 18:47:29 | FPS:14 | MLKit:50ms | TFLite:45ms | Total:95ms
03-28 18:47:30.954 25089 25089 I flutter : [PERF] 18:47:30 | FPS:13 | MLKit:46ms | TFLite:45ms | Total:91ms
03-28 18:47:31.979 25089 25089 I flutter : [PERF] 18:47:31 | FPS:14 | MLKit:45ms | TFLite:42ms | Total:88ms
03-28 18:47:33.042 25089 25089 I flutter : [PERF] 18:47:33 | FPS:13 | MLKit:42ms | TFLite:42ms | Total:85ms
03-28 18:47:34.104 25089 25089 I flutter : [PERF] 18:47:34 | FPS:13 | MLKit:46ms | TFLite:46ms | Total:93ms
03-28 18:47:35.142 25089 25089 I flutter : [PERF] 18:47:35 | FPS:13 | MLKit:45ms | TFLite:45ms | Total:90ms
03-28 18:47:36.266 25089 25089 I flutter : [PERF] 18:47:36 | FPS:15 | MLKit:41ms | TFLite:40ms | Total:82ms
03-28 18:47:37.281 25089 25089 I flutter : [PERF] 18:47:37 | FPS:13 | MLKit:47ms | TFLite:44ms | Total:92ms
03-28 18:47:38.295 25089 25089 I flutter : [PERF] 18:47:38 | FPS:10 | MLKit:47ms | TFLite:47ms | Total:95ms
03-28 18:47:39.341 25089 25089 I flutter : [PERF] 18:47:39 | FPS:15 | MLKit:51ms | TFLite:48ms | Total:100ms
03-28 18:47:40.358 25089 25089 I flutter : [PERF] 18:47:40 | FPS:13 | MLKit:44ms | TFLite:43ms | Total:88ms
03-28 18:47:41.375 25089 25089 I flutter : [PERF] 18:47:41 | FPS:14 | MLKit:40ms | TFLite:38ms | Total:79ms
03-28 18:47:42.482 25089 25089 I flutter : [PERF] 18:47:42 | FPS:13 | MLKit:46ms | TFLite:45ms | Total:92ms
03-28 18:47:43.550 25089 25089 I flutter : [PERF] 18:47:43 | FPS:12 | MLKit:52ms | TFLite:49ms | Total:102ms
03-28 18:47:44.564 25089 25089 I flutter : [PERF] 18:47:44 | FPS:11 | MLKit:53ms | TFLite:50ms | Total:104ms
03-28 18:47:45.597 25089 25089 I flutter : [PERF] 18:47:45 | FPS:10 | MLKit:50ms | TFLite:48ms | Total:99ms
03-28 18:47:46.668 25089 25089 I flutter : [PERF] 18:47:46 | FPS:12 | MLKit:48ms | TFLite:48ms | Total:96ms
03-28 18:47:47.675 25089 25089 I flutter : [PERF] 18:47:47 | FPS:15 | MLKit:45ms | TFLite:46ms | Total:92ms
03-28 18:47:48.712 25089 25089 I flutter : [PERF] 18:47:48 | FPS:15 | MLKit:37ms | TFLite:38ms | Total:75ms
03-28 18:47:49.782 25089 25089 I flutter : [PERF] 18:47:49 | FPS:15 | MLKit:37ms | TFLite:39ms | Total:76ms
03-28 18:47:50.785 25089 25089 I flutter : [PERF] 18:47:50 | FPS:14 | MLKit:39ms | TFLite:42ms | Total:82ms
03-28 18:47:51.792 25089 25089 I flutter : [PERF] 18:47:51 | FPS:13 | MLKit:42ms | TFLite:42ms | Total:84ms
03-28 18:47:52.801 25089 25089 I flutter : [PERF] 18:47:52 | FPS:12 | MLKit:40ms | TFLite:39ms | Total:80ms
03-28 18:47:53.931 25089 25089 I flutter : [PERF] 18:47:53 | FPS:16 | MLKit:40ms | TFLite:41ms | Total:80ms
03-28 18:47:54.953 25089 25089 I flutter : [PERF] 18:47:54 | FPS:14 | MLKit:39ms | TFLite:42ms | Total:80ms
03-28 18:47:55.999 25089 25089 I flutter : [PERF] 18:47:55 | FPS:11 | MLKit:44ms | TFLite:43ms | Total:88ms
03-28 18:47:57.070 25089 25089 I flutter : [PERF] 18:47:57 | FPS:12 | MLKit:41ms | TFLite:45ms | Total:86ms
