03-28 20:54:05.723  6208  6208 I flutter : [PERF] 20:54:05 | FPS:1 | MLKit:350ms | TFLite:53ms | Total:403ms
03-28 20:54:06.794  6208  6208 I flutter : [PERF] 20:54:06 | FPS:13 | MLKit:71ms | TFLite:51ms | Total:123ms
03-28 20:54:07.831  6208  6208 I flutter : [PERF] 20:54:07 | FPS:11 | MLKit:60ms | TFLite:52ms | Total:113ms
03-28 20:54:08.848  6208  6208 I flutter : [PERF] 20:54:08 | FPS:13 | MLKit:49ms | TFLite:53ms | Total:102ms
03-28 20:54:09.877  6208  6208 I flutter : [PERF] 20:54:09 | FPS:11 | MLKit:62ms | TFLite:59ms | Total:122ms
03-28 20:54:10.924  6208  6208 I flutter : [PERF] 20:54:10 | FPS:13 | MLKit:60ms | TFLite:60ms | Total:121ms
03-28 20:54:11.971  6208  6208 I flutter : [PERF] 20:54:11 | FPS:14 | MLKit:55ms | TFLite:56ms | Total:112ms
03-28 20:54:12.986  6208  6208 I flutter : [PERF] 20:54:12 | FPS:13 | MLKit:48ms | TFLite:51ms | Total:100ms
03-28 20:54:14.074  6208  6208 I flutter : [PERF] 20:54:14 | FPS:12 | MLKit:51ms | TFLite:52ms | Total:104ms
03-28 20:54:15.127  6208  6208 I flutter : [PERF] 20:54:15 | FPS:10 | MLKit:60ms | TFLite:61ms | Total:121ms
03-28 20:54:16.179  6208  6208 I flutter : [PERF] 20:54:16 | FPS:10 | MLKit:72ms | TFLite:70ms | Total:142ms
03-28 20:54:17.229  6208  6208 I flutter : [PERF] 20:54:17 | FPS:10 | MLKit:75ms | TFLite:73ms | Total:149ms
03-28 20:54:18.237  6208  6208 I flutter : [PERF] 20:54:18 | FPS:11 | MLKit:75ms | TFLite:69ms | Total:145ms
03-28 20:54:19.346  6208  6208 I flutter : [PERF] 20:54:19 | FPS:10 | MLKit:74ms | TFLite:71ms | Total:145ms
03-28 20:54:20.419  6208  6208 I flutter : [PERF] 20:54:20 | FPS:10 | MLKit:73ms | TFLite:69ms | Total:143ms
03-28 20:54:21.433  6208  6208 I flutter : [PERF] 20:54:21 | FPS:10 | MLKit:68ms | TFLite:71ms | Total:140ms
03-28 20:54:22.447  6208  6208 I flutter : [PERF] 20:54:22 | FPS:8 | MLKit:64ms | TFLite:73ms | Total:138ms
03-28 20:54:23.484  6208  6208 I flutter : [PERF] 20:54:23 | FPS:12 | MLKit:62ms | TFLite:72ms | Total:134ms
03-28 20:54:24.507  6208  6208 I flutter : [PERF] 20:54:24 | FPS:12 | MLKit:66ms | TFLite:70ms | Total:137ms
03-28 20:54:25.596  6208  6208 I flutter : [PERF] 20:54:25 | FPS:14 | MLKit:65ms | TFLite:63ms | Total:129ms
03-28 20:54:26.689  6208  6208 I flutter : [PERF] 20:54:26 | FPS:13 | MLKit:66ms | TFLite:61ms | Total:127ms
03-28 20:54:27.709  6208  6208 I flutter : [PERF] 20:54:27 | FPS:13 | MLKit:58ms | TFLite:58ms | Total:117ms
03-28 20:54:28.781  6208  6208 I flutter : [PERF] 20:54:28 | FPS:8 | MLKit:65ms | TFLite:67ms | Total:132ms
03-28 20:54:29.896  6208  6208 I flutter : [PERF] 20:54:29 | FPS:11 | MLKit:70ms | TFLite:69ms | Total:139ms
03-28 20:54:30.953  6208  6208 I flutter : [PERF] 20:54:30 | FPS:11 | MLKit:77ms | TFLite:76ms | Total:153ms
03-28 20:54:32.044  6208  6208 I flutter : [PERF] 20:54:32 | FPS:10 | MLKit:75ms | TFLite:72ms | Total:148ms
03-28 20:54:33.147  6208  6208 I flutter : [PERF] 20:54:33 | FPS:9 | MLKit:70ms | TFLite:71ms | Total:142ms
03-28 20:54:34.171  6208  6208 I flutter : [PERF] 20:54:34 | FPS:11 | MLKit:65ms | TFLite:67ms | Total:132ms
03-28 20:54:35.192  6208  6208 I flutter : [PERF] 20:54:35 | FPS:12 | MLKit:59ms | TFLite:61ms | Total:121ms
03-28 20:54:36.213  6208  6208 I flutter : [PERF] 20:54:36 | FPS:13 | MLKit:55ms | TFLite:57ms | Total:112ms
03-28 20:54:37.241  6208  6208 I flutter : [PERF] 20:54:37 | FPS:12 | MLKit:50ms | TFLite:53ms | Total:103ms
03-28 20:54:38.295  6208  6208 I flutter : [PERF] 20:54:38 | FPS:14 | MLKit:50ms | TFLite:55ms | Total:104ms
03-28 20:54:39.296  6208  6208 I flutter : [PERF] 20:54:39 | FPS:13 | MLKit:55ms | TFLite:56ms | Total:110ms
03-28 20:54:40.304  6208  6208 I flutter : [PERF] 20:54:40 | FPS:12 | MLKit:58ms | TFLite:58ms | Total:117ms
03-28 20:54:41.316  6208  6208 I flutter : [PERF] 20:54:41 | FPS:10 | MLKit:61ms | TFLite:61ms | Total:122ms
03-28 20:54:42.384  6208  6208 I flutter : [PERF] 20:54:42 | FPS:12 | MLKit:56ms | TFLite:60ms | Total:116ms
03-28 20:54:43.405  6208  6208 I flutter : [PERF] 20:54:43 | FPS:12 | MLKit:52ms | TFLite:56ms | Total:109ms
03-28 20:54:44.448  6208  6208 I flutter : [PERF] 20:54:44 | FPS:13 | MLKit:53ms | TFLite:55ms | Total:109ms
03-28 20:54:45.455  6208  6208 I flutter : [PERF] 20:54:45 | FPS:12 | MLKit:53ms | TFLite:53ms | Total:106ms
03-28 20:54:46.463  6208  6208 I flutter : [PERF] 20:54:46 | FPS:11 | MLKit:50ms | TFLite:54ms | Total:104ms
03-28 20:54:47.509  6208  6208 I flutter : [PERF] 20:54:47 | FPS:13 | MLKit:51ms | TFLite:54ms | Total:106ms
03-28 20:54:48.549  6208  6208 I flutter : [PERF] 20:54:48 | FPS:11 | MLKit:53ms | TFLite:57ms | Total:110ms
03-28 20:54:49.610  6208  6208 I flutter : [PERF] 20:54:49 | FPS:15 | MLKit:57ms | TFLite:56ms | Total:113ms
03-28 20:54:50.640  6208  6208 I flutter : [PERF] 20:54:50 | FPS:13 | MLKit:55ms | TFLite:55ms | Total:111ms
03-28 20:54:51.651  6208  6208 I flutter : [PERF] 20:54:51 | FPS:12 | MLKit:56ms | TFLite:55ms | Total:111ms
